cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
8114	S966	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	0.5	Depsipeptides	0.5	Cyclic depsipeptides	0.5	Aromatic heteromonocyclic compounds	0.5
8121	S967	1	Organic compounds	1.0	Organic acids and derivatives	0.5	Peptidomimetics	0.5	Depsipeptides	0.5	Cyclic depsipeptides	0.5	Aliphatic heteropolycyclic compounds	0.5
8129	S968	1	no matches		no matches		no matches		no matches		no matches		no matches	
8131	S969	1	no matches		no matches		no matches		no matches		no matches		no matches	
8133	S970	1	no matches		no matches		no matches		no matches		no matches		no matches	
8135	S971	1	no matches		no matches		no matches		no matches		no matches		no matches	
8140	S972	1	no matches		no matches		no matches		no matches		no matches		no matches	
8146	S973	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	1.0	Oligopeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8149	S974	1	no matches		no matches		no matches		no matches		no matches		no matches	
8158	74	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.5	Saccharolipids	0.5	Acyltrehaloses	0.5	Acyltrehaloses	0.5	Aliphatic heteromonocyclic compounds	0.5
9346	74	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.5	Saccharolipids	0.5	Acyltrehaloses	0.5	Acyltrehaloses	0.5	Aliphatic heteromonocyclic compounds	0.5
8174	S975	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8185	S976	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	0.5	Amino acids, peptides, and analogues	0.5	Oligopeptides	0.5	Aromatic heteropolycyclic compounds	1.0
8212	S977	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	0.5	Depsipeptides	0.5	Cyclic depsipeptides	0.5	Aliphatic heteropolycyclic compounds	0.5
8214	S978	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	1.0	Cyclic peptides	1.0	Aromatic heteropolycyclic compounds	1.0
8215	S979	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8219	S980	1	Organic compounds	1.0	Organic Polymers	1.0	Polypeptides	1.0		1.0	Polypeptides	1.0	Aromatic heteromonocyclic compounds	1.0
8227	S981	1	no matches		no matches		no matches		no matches		no matches		no matches	
8246	S982	1	no matches		no matches		no matches		no matches		no matches		no matches	
8270	S983	1	no matches		no matches		no matches		no matches		no matches		no matches	
8275	78	2	no matches		no matches		no matches		no matches		no matches		no matches	
8290	78	2	no matches		no matches		no matches		no matches		no matches		no matches	
8279	S984	1	no matches		no matches		no matches		no matches		no matches		no matches	
8287	S985	1	no matches		no matches		no matches		no matches		no matches		no matches	
8289	S986	1	no matches		no matches		no matches		no matches		no matches		no matches	
8291	S987	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Amino acids, peptides, and analogues	1.0	Oligopeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8293	S988	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8296	69	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.3333333333333333	Prenol lipids	0.3333333333333333	Diterpenoids	0.3333333333333333	Taxanes and derivatives	0.3333333333333333	Aromatic heteropolycyclic compounds	0.5
8302	69	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.3333333333333333	Prenol lipids	0.3333333333333333	Diterpenoids	0.3333333333333333	Taxanes and derivatives	0.3333333333333333	Aromatic heteropolycyclic compounds	0.5
8298	S989	1	no matches		no matches		no matches		no matches		no matches		no matches	
8304	S990	1	no matches		no matches		no matches		no matches		no matches		no matches	
8313	S991	1	no matches		no matches		no matches		no matches		no matches		no matches	
8316	S992	1	no matches		no matches		no matches		no matches		no matches		no matches	
8341	S993	1	no matches		no matches		no matches		no matches		no matches		no matches	
8347	S994	1	no matches		no matches		no matches		no matches		no matches		no matches	
8361	S995	1	no matches		no matches		no matches		no matches		no matches		no matches	
8365	S996	1	no matches		no matches		no matches		no matches		no matches		no matches	
8373	S997	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8380	S998	1	no matches		no matches		no matches		no matches		no matches		no matches	
8382	S999	1	no matches		no matches		no matches		no matches		no matches		no matches	
8388	S1000	1	no matches		no matches		no matches		no matches		no matches		no matches	
8392	S1001	1	no matches		no matches		no matches		no matches		no matches		no matches	
8427	S1002	1	no matches		no matches		no matches		no matches		no matches		no matches	
8429	10	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.9	Glycerophospholipids	0.8	Glycerophosphocholines	0.8	1-alkyl,2-acylglycero-3-phosphocholines	0.8	Aliphatic acyclic compounds	0.9
8438	10	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.9	Glycerophospholipids	0.8	Glycerophosphocholines	0.8	1-alkyl,2-acylglycero-3-phosphocholines	0.8	Aliphatic acyclic compounds	0.9
8430	S1003	1	no matches		no matches		no matches		no matches		no matches		no matches	
8432	S1004	1	no matches		no matches		no matches		no matches		no matches		no matches	
8445	S1005	1	no matches		no matches		no matches		no matches		no matches		no matches	
8448	S1006	1	no matches		no matches		no matches		no matches		no matches		no matches	
8454	S1007	1	no matches		no matches		no matches		no matches		no matches		no matches	
8475	8	2	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Glycerolipids	0.5	Glycosylglycerols	0.5	3-O-beta-D-digalactosyl-sn-glycerols	0.5	Aliphatic heteromonocyclic compounds	0.5
8794	8	2	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Glycerolipids	0.5	Glycosylglycerols	0.5	3-O-beta-D-digalactosyl-sn-glycerols	0.5	Aliphatic heteromonocyclic compounds	0.5
8476	40	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.95	Glycerophospholipids	0.8500000000000001	Glycerophosphocholines	0.44999999999999996	Phosphatidylcholines	0.44999999999999996	Aliphatic acyclic compounds	0.8500000000000001
8489	40	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.95	Glycerophospholipids	0.8500000000000001	Glycerophosphocholines	0.44999999999999996	Phosphatidylcholines	0.44999999999999996	Aliphatic acyclic compounds	0.8500000000000001
8478	S1008	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aliphatic heteromonocyclic compounds	0.5
8503	S1009	1	no matches		no matches		no matches		no matches		no matches		no matches	
8504	S1010	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8505	S1011	1	no matches		no matches		no matches		no matches		no matches		no matches	
8508	S1012	1	no matches		no matches		no matches		no matches		no matches		no matches	
8509	S1013	1	no matches		no matches		no matches		no matches		no matches		no matches	
8512	S1014	1	no matches		no matches		no matches		no matches		no matches		no matches	
8513	S1015	1	no matches		no matches		no matches		no matches		no matches		no matches	
